"gene"
"MAGEA4"
"FAM133A"
"CSAG1"
"GABRA3"
"MAGEC2"
"MAGEA1"
"MAGEA10"
"MAGEC1"
"CTAG2"
"MAGEB2"
"ST8SIA6-AS1"
"PAGE2"
"SLCO1A2"
"LINC01419"
"LINC01446"
"GTSF1"
"MKRN3"
"LINC01667"
"LINC01287"
"FSTL5"
"PNMA5"
"CDH18"
"COX7B2"
"CSAG3"
"LINC00355"
"AL513318.1"
"TUBA3C"
"LINC00470"
"HTR2C"
"AP005262.1"
"MAGEA8"
"AC018865.2"
"LINC01518"
"MYO18B"
"SSX1"
"MAGEA11"
"PASD1"
"PAGE1"
"DCAF4L2"
"LINC02241"
"MIR548XHG"
"LINC00221"
"AL136372.2"
"ASNSP1"
"GABRQ"
"PAGE2B"
"BAGE2"
"NAA11"
"AC122710.1"
"TRDN"
"FAR2P1"
"AC244102.3"
"FRG1FP"
