"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000147381.11",252.839588183376,-7.97380020208466,0.580946080079023,-13.7255426544922,7.13925965793626e-43,2.84385269214233e-38,"MAGEA4","Down"
"ENSG00000122711.9",101.976714070666,3.63780394070356,0.3023967530386,12.0299041049532,2.47448006003377e-33,4.92842193556925e-29,"SPINK4","Up"
"ENSG00000133454.16",27.5574404099751,-3.01254065433987,0.256071468490085,-11.7644526042015,5.95110767754614e-32,7.90188077424576e-28,"MYO18B","Down"
"ENSG00000142619.4",188.214843685217,-4.24339618716251,0.367645741406108,-11.5420789886838,8.09448485071102e-31,8.06089273858057e-27,"PADI3","Down"
"ENSG00000124260.12",62.8365139993316,-5.44984696574424,0.487916603445193,-11.1696280209829,5.74208406003581e-29,4.57460352894933e-25,"MAGEA10","Down"
"ENSG00000251381.8",104.899909977666,-2.33608934612413,0.214662943026723,-10.8825925573624,1.39536880941618e-27,9.26385352571403e-24,"LINC00958","Down"
"ENSG00000154997.9",6.09193093310242,-4.546612594326,0.441899447536747,-10.2887944750099,7.91612287001036e-25,4.50472626291418e-21,"SEPTIN14","Down"
"ENSG00000139219.19",88.5029369041461,-2.66020090271381,0.27095592126082,-9.81783638584198,9.43466881060544e-23,4.69775746752071e-19,"COL2A1","Down"
"ENSG00000228695.10",42.2086975648529,-2.29274476355653,0.235011814638647,-9.75587021904344,1.741010281796e-22,7.7057115072291e-19,"CES1P1","Down"
"ENSG00000170627.11",95.4517658611935,-1.90532232471635,0.197814491849937,-9.63186421226271,5.86555371345349e-22,2.33648466621706e-18,"GTSF1","Down"
"ENSG00000124092.12",7.7391568976882,-3.02287928998498,0.319355718322245,-9.46555554372367,2.92004681724408e-21,1.05742859016455e-17,"CTCFL","Down"
"ENSG00000104112.9",55.7332330144275,-2.12741436093319,0.225239504823518,-9.44512092849823,3.54994168255829e-21,1.17840314152522e-17,"SCG3","Down"
"ENSG00000168955.4",24.1412872284787,-3.35382820332174,0.356766435702958,-9.40062704248928,5.42388606011525e-21,1.66196213322024e-17,"TM4SF20","Down"
"ENSG00000244503.1",15.0332491129306,2.04317267685333,0.219186226938375,9.32162894262409,1.1456765296908e-20,3.25977706312166e-17,"AC108751.5","Up"
