"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000124253.11",75.6953349765472,-4.22857735316398,0.495544653307136,-8.53319135812193,1.42364917915115e-17,9.05557570495801e-15,"PCK1","Down"
"ENSG00000103154.9",46.4555135329811,-2.42871155026054,0.285191063035866,-8.51608575811192,1.65036638693629e-17,1.0328365512825e-14,"NECAB2","Down"
"ENSG00000124102.5",283.89440936252,-2.61822016965742,0.307712240929842,-8.50866433439795,1.75948392879637e-17,1.08364660192426e-14,"PI3","Down"
"ENSG00000177238.14",72.4283720744015,-2.88999447830202,0.340255756867126,-8.49359465630024,2.0034216139052e-17,1.21460565689274e-14,"TRIM72","Down"
"ENSG00000101977.21",24.557616867362,2.39940163046084,0.284766139496368,8.42586704551454,3.58088606156467e-17,2.13756861653494e-14,"MCF2","Up"
"ENSG00000139144.11",164.337693300552,-3.2415699770237,0.388405732484877,-8.34583453824259,7.07127520295152e-17,4.15715983560184e-14,"PIK3C2G","Down"
"ENSG00000146678.10",55.6820284426706,-3.22171695930649,0.391728967169572,-8.22435211412862,1.96248769317556e-16,1.13651470123739e-13,"IGFBP1","Down"
"ENSG00000225972.1",153.028178788826,-2.62733085889383,0.320525903196829,-8.19693769735807,2.46588165692889e-16,1.40703932603673e-13,"MTND1P23","Down"
"ENSG00000166558.11",24.6255152860741,-3.57019470479234,0.435898419640622,-8.19042819135661,2.60298436991537e-16,1.46374487734908e-13,"SLC38A8","Down"
"ENSG00000280109.3",76.5930038932068,-2.94383199488473,0.359993189782805,-8.17746579223022,2.89875687719218e-16,1.60678093702763e-13,"PLAC4","Down"
"ENSG00000104760.17",2313.33229417072,-3.16122411597247,0.388181496179456,-8.14367543812813,3.83456237506145e-16,2.09556133401069e-13,"FGL1","Down"
"ENSG00000160097.20",160.445564107981,1.64289638036076,0.201784680230243,8.14182909468728,3.89350587399303e-16,2.09822113078894e-13,"FNDC5","Up"
"ENSG00000178445.10",304.725396873041,-2.15080390832394,0.265792484691154,-8.0920418454387,5.86727442332625e-16,3.11857691643126e-13,"GLDC","Down"
"ENSG00000275216.2",177.793976574837,-3.4745157204336,0.432347797408979,-8.03639047372521,9.25235765790496e-16,4.85136120924825e-13,"AL161431.1","Down"
"ENSG00000214039.9",168.238410087527,-4.90949150707713,0.612191138730513,-8.01954029791715,1.06141644207857e-15,5.49120258254542e-13,"LINC02418","Down"
"ENSG00000015676.18",5073.54617939758,0.51096073876607,0.0640697612099161,7.97506856771286,1.52296246335343e-15,7.77532454481267e-13,"NUDCD3","Not significant"
"ENSG00000139540.12",41.6296208781151,-2.31851392366605,0.291768494485218,-7.94641631118097,1.91984474557489e-15,9.67427220429236e-13,"SLC39A5","Down"
"ENSG00000288087.1",4.74241761951861,-4.22715147914146,0.532640731335213,-7.93621522061395,2.08444185379558e-15,1.03690292780926e-12,"AC112770.1","Down"
"ENSG00000186191.8",37.4308124032501,-3.29648405321268,0.41546231397328,-7.93449596351281,2.11351894928903e-15,1.03805884495397e-12,"BPIFB4","Down"
